Full Name,Company Name,Job Title,Talk Title,Abstract,What You'll Learn,Prerequiste Knowledge (if required),Track,Technical Level (1-7),Category 1,Top 3 keywords (in order),Bio,YouTube Link,Relevant Industries,What is Unique about your session,Event,YouTube ID
"Jakub Witkowski, Dariusz Adamczyk",Roche,Roche Informatics - IT Expert,From ML Repository to ML Production Pipeline,"In the pRED MLOps team, we collaborate closely with research scientists to transition their machine learning models into a production environment seamlessly. Through our efforts, we have developed a robust framework that standardises and scales this process effectively. In this talk, we will provide an in-depth look at our framework, the tools we leverage, and the challenges we overcome in this journey."," - How to create framework for moving ML code to production
- What can be automated in this process (role of containerisation, CI/CD, building reusable components for repeating tasks)
- What tools are important for dev team
- What are most important challenges to tackle in this process",,Virtual Talk,4.0,Deployment and integration,"ML production pipeline, Automation, Framework","Jakub Witkowski, PhD is a data scientist and MLOps engineer with experience spanning various industries, including consulting, media, and pharmaceuticals. At Roche, he focuses on understanding the needs of data scientists to help them make their work and models production-ready. He achieves this by providing comprehensive frameworks and upskilling opportunities.

Dariusz is a DevOps and MLOps engineer. He has experience in various industries such as public cloud computing, telecommunications, and pharmaceuticals. At Roche, he focuses on infrastructure and the process of deploying machine learning models into production.",https://www.youtube.com/watch?v=fqzqDK-ZXcQ,,We will share the experience of MLOps team in Roche on how to cooperate with data scientists to successfully deploy their machine learning models to production.,MLOps & GenAI World 2024,fqzqDK-ZXcQ
David Rosenberg,Bloomberg,"Head of ML Strategy, Office of the CTO",BloombergGPT: How we built a 50 billion parameter financial language model,"We will present BloombergGPT, a 50 billion parameter language model, purpose-built for finance and trained on a uniquely balanced mix of standard general-purpose datasets and a diverse array of financial documents from the Bloomberg archives. Building a large language model (LLM) is a costly and time-intensive endeavor. To reduce risk, we adhered closely to model designs and training strategies from recent successful models, such as OPT and BLOOM. Nevertheless, we faced numerous challenges during the training process, including loss spikes, unexpected parameter drifts, and performance plateaus.

In this talk, we will discuss these hurdles and our responses, which included a complete training restart after weeks of effort. Our persistence paid off: BloombergGPT ultimately outperformed existing models on financial tasks by significant margins, while maintaining competitive performance on general LLM benchmarks. We will also provide several examples illustrating how BloombergGPT stands apart from general-purpose models.

Our goal is to provide valuable insights into the specific challenges encountered when building LLMs and to offer guidance for those debating whether to embark on their own LLM journey, as well as for those who are already determined to do so.","You'll learn about the challenges that are often faced when designing and training LLMs, as well as some approaches to address these challenges. You'll also see how domain-specific datasets can benefit LLMs.",,Case Study,5.0,,,"David Rosenberg leads the Machine Learning Strategy team in the Office of the CTO at Bloomberg. He is also an adjunct associate professor at the Center for Data Science at New York University, where he has repeatedly received NYU’s Center for Data Science “Professor of the Year” award. Previously, he was Chief Scientist at Sense Networks, a location data analytics and mobile advertising company, and served as scientific adviser to Discovereads, a book recommendation company first acquired by Goodreads and later Amazon. He received his Ph.D. in statistics from UC Berkeley, where he worked on statistical learning theory and natural language processing. David received a Master of Science in applied mathematics, with a focus on computer science, from Harvard University, and a Bachelor of Science in mathematics from Yale University. He is currently based in Toronto.",https://www.youtube.com/watch?v=m2Scj2SO85Y,"Banking & Financial Services
","I was part of the team that built BloombergGPT and co-authored the paper
",TMLS 2023,m2Scj2SO85Y
Intae Rhyoo,VESSL AI,Co-founder & CPO,"LLMs, from Playgrounds to Production-ready Pipelines","Despite the onset of commercially viable open-source Large Langauge Models, companies are struggling to leverage cutting-edge models like Llama2 and Mistral 7B for production-ready applications. Creating a simple demo page on a personal laptop and training, fine-tuning, and serving multi-billion parameter LLMs on HPC-scale infrastructure - with proprietary enterprise data - involves an entirely different engineering challenge. In this session, Intae, who co-founded and now leads product development at VESSL AI, will explore how companies can leverage MLOps infrastructure to go from a simple model playground to deploying enterprise-scale pipelines for LLMs.",Building CI/CD pipelines for LLMs,,Workshop,5.0,Deployment and integration,"LLMs, MLOps infrastructure, Enterprise-scale pipelines
","As the Chief Product Officer at VESSL AI, Intae leverages his expertise in the intersection of software engineering and machine learning to help customers scale their workloads on VESSL AI. Being the founding ML engineer at VESSL AI, he oversees product development, managing areas from developer experiences to Kubernetes-backends. Before co-founding VESSL AI, he was a research assistant at the Personal Autonomous Robotics Lab (PeARL) at UT Austin and later joined high-growth AI startups as an ML engineer.",https://www.youtube.com/watch?v=HWXPBJAhNlY,,"This talk provides a unique opportunity to see behind the scenes how MLOps strategies are implemented in real-world business settings. By giving concrete, varied examples across different industries, I aim to illustrate the versatility and impact of MLOps. What sets this talk apart is our commitment to providing insights into these transformative strategies and making them accessible and actionable for executive business leaders. My goal is to demystify MLOps, empowering attendees to envision its practical potential within their organizations.
",MLOps & GenAI World 2023,HWXPBJAhNlY
Nathan Beach,Google,Product Manager,Leverage Kubernetes To Optimize the Utilization of Your AI Accelerators,"When training or serving AI models, the cost of AI accelerators such as GPUs can dwarf the cost of all other compute resources combined.

This session provides techniques to leverage Kubernetes to analyze the current utilization of AI accelerators and provides numerous tactics to optimize AI accelerator utilization for training, inference, notebooks, and other AI workloads.",,,Research or Advanced Technical,3.0,Performance optimization and efficiency,"Kubernetes, AI accelerators, Optimization","Nathan Beach is a Product Manager at Google, working on Google Kubernetes Engine. He received his MBA from Harvard Business School and, prior to Google, led his own startup. He is a builder and creator passionate about making products that superbly meet user needs. He enjoys career coaching and mentoring, and he is eager to help others transition into product management and excel in their careers.",https://www.youtube.com/watch?v=5jdZksHaJ_Q,,,MLOps & GenAI World 2024,5jdZksHaJ_Q
Maxime Labonne,Liquid AI,Senior Staff Machine Learning Scientist,Everything You Need to Know about Fine-Tuning," Fine-tuning LLMs is a fundamental technique for companies to customize models for their specific needs. In this talk, we will introduce fine-tuning and best practices associated with it. We'll explore how to create a high-quality data generation pipeline, discuss fine-tuning techniques using popular libraries, explain how model merging works, and present the best ways to evaluate LLMs."," Best practices for fine-tuning, creating a high-quality data generation pipeline, fine-tuning techniques, best fine-tuning libraries, how to do model merging, and evaluation methods for fine-tuned models.",,Applied Case Studies,5.0,"Model dev, training, arch.","Fine-tuning, Data generation pipeline, Model evaluation","Maxime Labonne is a Senior Staff Machine Learning Scientist at Liquid AI, serving as the head of post-training. He holds a Ph.D. in Machine Learning from the Polytechnic Institute of Paris and is recognized as a Google Developer Expert in AI/ML.

An active blogger, he has made significant contributions to the open-source community, including the LLM Course on GitHub, tools such as LLM AutoEval, and several state-of-the-art models like NeuralBeagle and Phixtral. He is the author of the best-selling book “Hands-On Graph Neural Networks Using Python,” published by Packt.
",https://www.youtube.com/watch?v=ijQ_8awMFBk,"Automotive, Banking & Financial Services, Computer Software, Enviromental Services, Hospital & Health Care, Information Technology Services, Insurance, Marketing & Advertising, Telecommunications","Lots of experience releasing open-source models, datasets, tools, and articles, and working in this industry for years, tips are battle-tested and come from real-world experience.",MLOps & GenAI World 2024,ijQ_8awMFBk
Eric Hart,Anheuser-Busch,Staff Data Scientist,Optimal Beer Pricing: An Optimization Layer for Price Elasticities,"At Anheuser-Busch, we’re obsessed with price elasticities. When the price of beer changes, how will that affect the volume of beer that we sell? These questions (yes, this is more than one question) have implications all over the business, from price setting to procurement to financial planning. We’ve worked hard to make sure our answers to these questions are as data driven as possible. But once we have a model to produce (and predict) these elasticities, how do we make business decisions based on that? And how do we make sure those business decisions are also as data driven as possible? 

In this talk we’ll discuss an optimal pricing layer for beer elasticities. We’ll cover how to use mathematical optimization to make specific price change suggestions at a variety of granularities to help achieve specific business objectives. We’ll consider what objective we actually want to optimize (Profit? Revenue? Market Share?) and see how to use constraints to help smooth the trade-off between these objectives. Finally, we’ll investigate how to ensure our price suggestions stay within the regions where the underlying elasticities models make sense.

Ever wanted to see a real-world example of levelling up your analytics from predictive- to prescriptive-, and do so in the context of price setting (or beer drinking)? Now’s your chance!
",How to add an optimization layer to ml models.,,Case Study,2.0,Business and stakeholder alignment,,"Eric is a Staff Data Scientist with more than 7 years of experience working at Altair Engineering and Anheuser-Busch. He has a PhD in probability from the University of Toronto, and a masters degree in Applied Math and an undergraduate degree in Engineering from Queen's university. He's also a world champion Blokus player.",https://www.youtube.com/watch?v=5J8g-EHbDSc,,"I would argue the whole topic is fairly unique (optimization layers for predictive models are not widely used or discussed). In addition, the specifics of trying to work around the realities of the beer industry (especially varying laws about beer pricing across different geographies) add an extra layer of complexity to this already deep problem.
",TMLS 2022,5J8g-EHbDSc
Avin Regmi,Engineering Manager ML,Spotify,Compute Strategies for Generative AI,"Distributing computing efforts strategically to maximize resource utilization and minimize wastage. Investing in Spotify's Hendrix ML Platform, which streamlines AI training and serving processes for models with over 70 billion parameters. ",,,,,Performance optimization and efficiency,"Compute Strategies for Generative AI, Resource Utilization, Hendrix ML Platform
","Avin is an Engineering Manager at Spotify, leading the ML training and compute team for the Hendrix ML Platform. His areas of expertise include training and serving ML models at scale, ML infrastructure, and growing high-performing teams. The Hendrix ML Platform is now integral to Spotify's core functions, such as search, ranking, and recommendations. Prior to joining Spotify, Avin led the ML Platform team at Bell. In this role, he focused on distributed training and serving LLMs. Additionally, Avin is the founder of Panini AI, which is a cloud solution that serves ML models at low latency using adaptive distributed batching. Outside of work, Avin practices yoga and meditation and enjoys high-altitude alpine climbing and hiking.",https://www.youtube.com/watch?v=0OEcXIL-piE,"Information Technology & Service, Telecommunications, Computer Software
",,TMLS 2024,0OEcXIL-piE
Jineet Doshi,Intuit,Staff Data Scientist/AI Lead,Measuring the Minds of Machines: Evaluating Generative AI Systems,"Evaluating LLMs is essential in establishing trust before deploying them to production. Even post deployment, evaluation is essential to ensure LLM outputs meet expectations, making it a foundational part of LLMOps. However, evaluating LLMs remains an open problem. Unlike traditional machine learning models, LLMs can perform a wide variety of tasks such as writing poems, Q&A, summarization etc. This leads to the question how do you evaluate a system with such broad intelligence capabilities? This talk covers the various approaches for evaluating LLMs along with the pros and cons of each. It also covers evaluating LLMs for safety and security and the need to have a holistic approach for evaluating these very capable models."," The audience will learn why evaluating GenAI systems is fundamental yet it remains an open problem, a broad overview of different techniques for evaluating GenAI systems (including some state of the art ones) along with pros and cons of each, how other ML Practicioners are doing LLM evals and techniques for evaluating for safety and security",,case study & advanced technical,3.0,Performance optimization and efficiency,"LLM evaluation, Safety and security, Generative AI"," Jineet Doshi is an award winning AI Lead and Engineer with over 7 years of experience. He has a proven track record of leading successful AI projects and building machine learning models from design to production across various domains, which have impacted millions of customers and have significantly improved business metrics, leading to millions of dollars of impact. He is currently an AI Lead at Intuit where he is one of the architects of their Generative AI platform which was featured on Forbes and Wall Street.

Jineet has also delivered guest lectures at Stanford University and UCLA on Applied AI. He is on the Advisory Board of University of San Francisco's AI Program. He holds multiple patents in the field, has advised numerous AI startups and has also co chaired workshops at top AI conferences like KDD.",https://www.youtube.com/watch?v=wruiUGF9X_A,"Automotive, Banking & Financial Services, Computer Software, Hospital & Health Care, Information Technology Services, Insurance, Marketing & Advertising, Telecommunications","This talk is created based on learnings from developing Intuit Assist, Intuit's GenAI CoPilot deployed to 100 Million customers across the world, covering multiple product lines like TurboTax, Quickbooks, Credit Karma and MailChimp. It covers a good breadth of techniques including some state of the art ones. We also conducted a survey recently in the MLOps Community of 100+ ML Praciticioners on how they are doing LLM evals. This talk includes insights from that survey also. An older version of this talk was also delivered at Stanford University as part of their Building LLM Applications class",MLOps & GenAI World 2024,wruiUGF9X_A
Mandy Gu,Wealthsimple,Senior Software Development Manager,How GenAI is Being Used for Productivity at Wealthsimple,"At Wealthsimple, we leverage GenAI internally to improve operational efficiency and streamline monotonous tasks. Our GenAI stack is a blend of tools we developed in house and third party solutions.

Today, roughly half of the company utilizes these tools in their day to day work. These are the lessons we learned in adoption, user behaviour and how to effectively leverage these tools to improve productivity."," - Impact of GenAI on internal productivity 
- Strategies to drive adoption of GenAI tools (what worked, what didn't work)",,Business Strategy or Ethics,2.0,Business and stakeholder alignment,"GenAI, Internal Productivity, Adoption Strategies
","Mandy is a Senior Software Development Manager at Wealthsimple, where she leads Machine Learning & Data Engineering. These teams provide a simple and reliable platform to empower the rest of the company to iterate quickly on machine learning applications, GenAI tools and leverage data assets to make better decisions. Previously, Mandy worked in the NLP space and as a data scientist.",https://www.youtube.com/watch?v=h_Q1g_dZKeE,"Banking & Financial Services
",,TMLS 2024,h_Q1g_dZKeE
"Bhuvana Adur Kannan, Yoyo Yang",Voiceflow,"Lead - Agent Performance & ML Platform, Machine Learning Engineer",Building and Evaluating Prompts on Production Grade Datasets,"Constructing prompts per task can be challenging given the many unknowns of running them in production. In this talk, we'll cover how we created several production style datasets for two types of LLM tasks to productize prompt based features. We'll walk through the methodology, techniques and lessons learned from developing and shipping prompt based features. The techniques in this talk will be widely applicable, but focused on conversational AI.","How to approach dataset creation, iterate on prompts and measure success of releases in production.",,Applied Case Studies,6.0,"Model dev, training, arch.","Production Datasets, Prompt Engineering, Conversational AI
","Bhuvana heads the Conversational Agent performance and ML platform at Voiceflow, aiming to improve conversational agent performance for customers. She has prior experience working on enterprise data systems for major Canadian banks and financial institutions.

Yoyo is a Machine Learning Engineer at Voiceflow, a conversational AI company. She works on various facets of machine learning systems, from model training and prompt tuning to backend architecture and real-time inference. Yoyo has been working in ML and Data Science for the past five years. She is committed to transforming ideas into robust, scalable solutions and continually pushing the boundaries of what’s possible.",https://www.youtube.com/watch?v=eCvoogEV3uU,,,TMLS 2024,eCvoogEV3uU
